Team,Att_def_passing,Cmp_def_passing,Cmp %_def_passing,Yds/Att_def_passing,Yds_def_passing,TD_def_passing,INT_def_passing,Rate_def_passing,1st_def_passing,1st%_def_passing,20+_def_passing,40+_def_passing,Lng_def_passing,Sck_def_passing,Att_def_rushing,Rush Yds_def_rushing,YPC_def_rushing,TD_def_rushing,20+_def_rushing,40+_def_rushing,Lng_def_rushing,Rush 1st_def_rushing,Rush 1st%_def_rushing,Rush FUM_def_rushing,Rec_def_receiving,Yds_def_receiving,Yds/Rec_def_receiving,TD_def_receiving,20+_def_receiving,40+_def_receiving,Lng_def_receiving,Rec 1st_def_receiving,Rec 1st%_def_receiving,Rec FUM_def_receiving,PDef_def_receiving,FR TD_def_scoring,SFTY_def_scoring,INT TD_def_scoring,Sck_def_tackles,Comb_def_tackles,Asst_def_tackles,Solo_def_tackles,3rd Att_def_downs,3rd Md_def_downs,4th Att_def_downs,4th Md_def_downs,Rec 1st_def_downs,Rec 1st%_def_downs,Rush 1st_def_downs,Rush 1st%_def_downs,Scrm Plys_def_downs,FF_def_fumbles,FR_def_fumbles,FR TD_def_fumbles,Rec FUM_def_fumbles,Rush FUM_def_fumbles,INT_def_interceptions,INT TD_def_interceptions,INT Yds_def_interceptions,Lng_def_interceptions
Football Team,529,330,62.4,6.4,3068,21,16,81.4,161,30.4,36,11,56,47,428,1805,4.2,14,11,5,50,100,23.4,7,330,3393,10.3,21,36,11,56,161,48.8,1,63,1,1,2,50,1073,344,711,216,81,24,9,161,48.8,100,23.4,1004,14,7,1,1,7,16,2,136,76
Buccaneers,617,426,69,7,3945,29,15,94.3,215,34.8,46,7,75,48,358,1289,3.6,10,4,1,62,78,21.8,5,426,4311,10.1,29,46,7,75,215,50.5,4,68,0,1,1,22,1011,339,637,205,82,25,14,215,50.5,78,21.8,1023,15,10,0,4,5,15,1,171,37
Seahawks,674,450,66.8,7.1,4560,23,14,90.2,253,37.5,55,9,52,46,392,1529,3.9,18,7,1,60,97,24.7,6,450,4811,10.7,23,55,9,52,253,56.2,2,77,0,3,0,48,1044,320,682,223,105,23,10,253,56.2,97,24.7,1112,14,8,0,2,6,14,0,106,32
49ers,537,341,63.5,6.6,3327,25,12,88.6,176,32.8,44,9,70,30,430,1703,4,12,9,2,61,102,23.7,8,341,3526,10.3,25,44,9,70,176,51.6,7,59,0,0,1,39,1084,371,664,200,71,20,13,176,51.6,102,23.7,997,13,8,0,7,8,12,1,123,51
Chargers,543,340,62.6,6.8,3578,29,12,91.4,186,34.3,44,10,54,27,427,1917,4.5,17,13,1,55,112,26.2,8,340,3715,10.9,29,44,10,54,186,54.7,2,54,0,1,2,34,1211,456,689,204,89,15,10,186,54.7,112,26.2,997,6,7,0,2,8,12,2,217,78
Steelers,526,298,56.7,6.6,3110,22,18,76.7,163,31,45,7,73,56,414,1783,4.3,13,11,2,74,94,22.7,6,298,3494,11.7,22,45,7,73,163,54.7,4,81,0,1,3,14,1065,325,659,222,83,20,5,163,54.7,94,22.7,996,13,9,0,4,6,18,3,169,37
Cardinals,570,365,64,6.9,3623,26,11,91.5,207,36.3,48,5,76,48,436,2008,4.6,13,10,0,38,118,27.1,5,365,3949,10.8,26,48,5,76,207,56.7,1,55,0,1,0,29,1102,306,744,202,80,21,14,207,56.7,118,27.1,1054,15,10,0,1,5,11,0,129,90
Eagles,530,364,68.7,7.8,3798,27,8,102.4,209,39.4,50,12,69,49,481,2012,4.2,20,13,5,80,98,20.4,5,364,4122,11.3,27,50,12,69,209,57.4,3,41,1,1,1,65,990,274,693,211,80,18,7,209,57.4,98,20.4,1060,14,11,1,3,5,8,1,101,30
Jets,605,418,69.1,7.6,4409,34,10,103.2,235,38.8,50,9,54,31,445,1792,4,16,10,5,80,100,22.5,11,418,4595,11,34,50,9,54,235,56.2,4,65,0,1,1,43,979,320,599,202,90,12,5,235,56.2,100,22.5,1081,17,9,0,4,11,10,1,134,35
Giants,574,388,67.6,7.2,3807,22,11,93.2,215,37.5,43,6,68,40,432,1782,4.1,14,9,1,56,115,26.6,10,388,4130,10.6,22,43,6,68,215,55.4,8,73,1,0,1,50,1011,324,637,204,91,18,11,215,55.4,115,26.6,1046,14,11,1,8,10,11,1,101,46
